run,variant,problem,best_value,nodes,elapsed,max_depth,avg_depth,optimal
5,vol_k,ex6_2_11.bch,-2.6724e-06,44872,23.1053,NA,NA,1
6,vol_k,ex6_2_11.bch,-2.6724e-06,44872,22.9292,NA,NA,1
7,vol_k,ex6_2_11.bch,-2.6724e-06,44872,22.0217,NA,NA,1
0,vol_k,ex6_2_12.bch,0.289195,29266,9.46274,NA,NA,1
8,vol_k,ex6_2_11.bch,-2.6724e-06,44872,23.3334,NA,NA,1
1,vol_k,ex6_2_12.bch,0.289195,29266,9.56884,NA,NA,1
9,vol_k,ex6_2_11.bch,-2.6724e-06,44872,23.1623,NA,NA,1
3,vol_k,ex6_2_12.bch,0.289195,29266,9.46102,NA,NA,1
2,vol_k,ex6_2_12.bch,0.289195,29266,12.9499,NA,NA,1
4,vol_k,ex6_2_12.bch,0.289195,29266,13.0351,NA,NA,1
6,vol_k,ex6_2_12.bch,0.289195,29266,10.1148,NA,NA,1
5,vol_k,ex6_2_12.bch,0.289195,29266,10.9811,NA,NA,1
7,vol_k,ex6_2_12.bch,0.289195,29266,12.3288,NA,NA,1
7,vol_k,ex14_2_7.bch,2.14074e-09,1301172,1602.16,NA,NA,1
0,vol_k,ex6_2_14.bch,-0.695358,4896,2.37024,NA,NA,1
1,vol_k,ex6_2_14.bch,-0.695358,4896,2.50061,NA,NA,1
2,vol_k,ex6_2_14.bch,-0.695358,4896,1.98298,NA,NA,1
8,vol_k,ex6_2_12.bch,0.289195,29266,11.2977,NA,NA,1
9,vol_k,ex6_2_12.bch,0.289195,29266,11.4227,NA,NA,1
3,vol_k,ex6_2_14.bch,-0.695358,4896,2.20258,NA,NA,1
4,vol_k,ex6_2_14.bch,-0.695358,4896,2.405,NA,NA,1
5,vol_k,ex6_2_14.bch,-0.695358,4896,2.48115,NA,NA,1
6,vol_k,ex6_2_14.bch,-0.695358,4896,2.46569,NA,NA,1
7,vol_k,ex6_2_14.bch,-0.695358,4896,2.2673,NA,NA,1
8,vol_k,ex6_2_14.bch,-0.695358,4896,2.45062,NA,NA,1
9,vol_k,ex6_2_14.bch,-0.695358,4896,2.44467,NA,NA,1
8,vol_k,ex14_2_7.bch,2.14074e-09,1301172,1632.72,NA,NA,1
9,vol_k,ex14_2_7.bch,2.14074e-09,1301172,1637.88,NA,NA,1
6,vol_k,ex14_2_7.bch,2.14074e-09,1301172,1668.11,NA,NA,1
5,vol_k,ex14_2_7.bch,2.14074e-09,1301172,1677.26,NA,NA,1
0,vol_k,ex14_2_7.bch,2.14074e-09,1301172,1685.6,NA,NA,1
4,vol_k,ex14_2_7.bch,2.14074e-09,1301172,1692.27,NA,NA,1
