run,variant,problem,triggers_total,triggers_depth,triggers_vol,vol_eval,vol_nonfinite
5,vol_k_rand,ex6_2_8.bch,37604,0,37604,37604,0
2,vol_k_rand,ex6_2_8.bch,38894,0,38894,38894,0
1,vol_k_rand,ex6_2_8.bch,38509,0,38509,38509,0
0,vol_k_rand,ex6_2_8.bch,38903,0,38903,38903,0
3,vol_k_rand,ex6_2_8.bch,38591,0,38591,38591,0
4,vol_k_rand,ex6_2_8.bch,39373,0,39373,39373,0
6,vol_k_rand,ex6_2_8.bch,39354,0,39354,39354,0
7,vol_k_rand,ex6_2_8.bch,39611,0,39611,39611,0
8,vol_k_rand,ex6_2_8.bch,39368,0,39368,39368,0
9,vol_k_rand,ex6_2_8.bch,39670,0,39670,39670,0
