run,variant,problem,triggers_total,triggers_depth,triggers_vol,vol_eval,vol_nonfinite
2,depth_k,alkyl.bch,107,107,0,114,114
3,depth_k,alkyl.bch,130,130,0,134,134
5,depth_k,alkyl.bch,134,134,0,141,141
4,depth_k,alkyl.bch,137,137,0,141,141
0,depth_k,alkyl.bch,158,158,0,165,165
1,depth_k,alkyl.bch,161,161,0,165,165
6,depth_k,alkyl.bch,122,122,0,129,129
7,depth_k,alkyl.bch,131,131,0,135,135
8,depth_k,alkyl.bch,131,131,0,135,135
9,depth_k,alkyl.bch,130,130,0,136,136
