run,variant,problem,triggers_total,triggers_depth,triggers_vol,vol_eval,vol_nonfinite
1,depth_k,ex14_2_3.bch,4168,4168,0,4170,4170
3,depth_k,ex14_2_3.bch,4168,4168,0,4170,4170
5,depth_k,ex14_2_3.bch,6692,6692,0,6694,6694
4,depth_k,ex14_2_3.bch,5758,5758,0,5760,5760
2,depth_k,ex14_2_3.bch,5650,5650,0,5652,5652
8,depth_k,ex14_2_3.bch,3692,3692,0,3694,3694
0,depth_k,ex14_2_3.bch,10346,10346,0,10348,10348
6,depth_k,ex14_2_3.bch,6018,6018,0,6020,6020
9,depth_k,ex14_2_3.bch,7527,7527,0,7529,7529
7,depth_k,ex14_2_3.bch,7844,7844,0,7846,7846
