run,variant,problem,best_value,nodes,elapsed,max_depth,avg_depth,optimal,triggers,triggers_depth,triggers_vol,vol_eval,vol_nonfinite
5,depth_k_rand,ex2_1_9.bch,-0.374921,2946,2.6037,NA,NA,1,1469,1469,0,1474,1474
1,depth_k_rand,ex2_1_9.bch,-0.374998,3016,2.63562,NA,NA,1,1506,1506,0,1508,1508
2,depth_k_rand,ex2_1_9.bch,-0.374998,3016,2.63549,NA,NA,1,1502,1502,0,1508,1508
0,depth_k_rand,ex2_1_9.bch,-0.374984,3010,2.6451,NA,NA,1,1500,1500,0,1505,1505
4,depth_k_rand,ex2_1_9.bch,-0.374921,2946,2.65876,NA,NA,1,1472,1472,0,1474,1474
3,depth_k_rand,ex2_1_9.bch,-0.374998,3016,2.67223,NA,NA,1,1506,1506,0,1508,1508
7,depth_k_rand,ex2_1_9.bch,-0.374921,2946,2.49728,NA,NA,1,1472,1472,0,1474,1474
9,depth_k_rand,ex2_1_9.bch,-0.375,2998,2.5562,NA,NA,1,1493,1493,0,1499,1499
8,depth_k_rand,ex2_1_9.bch,-0.374988,3116,2.61963,NA,NA,1,1557,1557,0,1559,1559
6,depth_k_rand,ex2_1_9.bch,-0.374964,3176,2.7305,NA,NA,1,1584,1584,0,1590,1590
