run,variant,problem,best_value,nodes,elapsed,max_depth,avg_depth,optimal,triggers,triggers_depth,triggers_vol,vol_eval,vol_nonfinite
0,depth_k,ex5_3_2.bch,1.86416,40,0.159232,NA,NA,1,30,30,0,32,32
5,depth_k,ex5_3_2.bch,1.86416,40,0.174096,NA,NA,1,32,32,0,34,34
1,depth_k,ex5_3_2.bch,1.86416,40,0.189969,NA,NA,1,33,33,0,35,35
2,depth_k,ex5_3_2.bch,1.86416,40,0.168513,NA,NA,1,30,30,0,32,32
3,depth_k,ex5_3_2.bch,1.86416,38,0.174716,NA,NA,1,29,29,0,31,31
4,depth_k,ex5_3_2.bch,1.86588,56,0.21712,NA,NA,1,46,46,0,48,48
7,depth_k,ex5_3_2.bch,1.86416,48,0.176913,NA,NA,1,37,37,0,39,39
6,depth_k,ex5_3_2.bch,1.86416,44,0.161224,NA,NA,1,32,32,0,34,34
9,depth_k,ex5_3_2.bch,1.86416,40,0.166385,NA,NA,1,31,31,0,33,33
8,depth_k,ex5_3_2.bch,1.86416,44,0.180974,NA,NA,1,38,38,0,40,40
