run,variant,problem,best_value,nodes,elapsed,max_depth,avg_depth,optimal,triggers
1,vol_k,chem-1.bch,-47.7063,6933968,5588.43,NA,NA,1,0
0,vol_k,chem-1.bch,-47.706,6980000,5636.6,NA,NA,1,0
