run,variant,problem,triggers_total,triggers_depth,triggers_vol,vol_eval,vol_nonfinite
0,vol_k,ex6_2_6.bch,128937,0,128937,128937,0
1,vol_k,ex6_2_6.bch,128901,0,128901,128901,0
4,vol_k,ex6_2_6.bch,128536,0,128536,128536,0
3,vol_k,ex6_2_6.bch,128830,0,128830,128830,0
5,vol_k,ex6_2_6.bch,128383,0,128383,128383,0
2,vol_k,ex6_2_6.bch,129278,0,129278,129278,0
7,vol_k,ex6_2_6.bch,128700,0,128700,128700,0
9,vol_k,ex6_2_6.bch,128180,0,128180,128180,0
6,vol_k,ex6_2_6.bch,129256,0,129256,129256,0
8,vol_k,ex6_2_6.bch,128910,0,128910,128910,0
