run,variant,problem,best_value,nodes,elapsed,max_depth,avg_depth,optimal
7,base,ex5_2_2_case3.bch,-750,22,0.023964,NA,NA,1
8,base,ex5_2_2_case3.bch,-750,22,0.023662,NA,NA,1
9,base,ex5_2_2_case3.bch,-750,22,0.023712,NA,NA,1
9,base,ex2_1_8.bch,15639,1904,7.40104,NA,NA,1
0,base,ex5_3_2.bch,1.86416,70,0.439766,NA,NA,1
1,base,ex5_3_2.bch,1.86416,70,0.437274,NA,NA,1
2,base,ex2_1_9.bch,-0.375,5052,4.83513,NA,NA,1
2,base,ex5_3_2.bch,1.86416,70,0.43519,NA,NA,1
3,base,ex5_3_2.bch,1.86416,70,0.437123,NA,NA,1
4,base,ex5_3_2.bch,1.86416,70,0.442332,NA,NA,1
5,base,ex5_3_2.bch,1.86416,70,0.433055,NA,NA,1
6,base,ex5_3_2.bch,1.86416,70,0.43574,NA,NA,1
7,base,ex5_3_2.bch,1.86416,70,0.440331,NA,NA,1
8,base,ex5_3_2.bch,1.86416,70,0.439017,NA,NA,1
9,base,ex5_3_2.bch,1.86416,70,0.438482,NA,NA,1
3,base,ex2_1_9.bch,-0.375,5052,4.97803,NA,NA,1
4,base,ex2_1_9.bch,-0.375,5052,4.75467,NA,NA,1
5,base,ex2_1_9.bch,-0.375,5052,4.85643,NA,NA,1
6,base,ex2_1_9.bch,-0.375,5052,4.59901,NA,NA,1
7,base,ex2_1_9.bch,-0.375,5052,4.51583,NA,NA,1
9,base,ex2_1_9.bch,-0.375,5052,4.18663,NA,NA,1
8,base,ex2_1_9.bch,-0.375,5052,5.117,NA,NA,1
1,base,ex6_1_3bis.bch,-0.351884,11214,5.89282,NA,NA,1
0,base,ex6_1_4.bch,-0.294385,156,0.117198,NA,NA,1
1,base,ex6_1_4.bch,-0.294385,156,0.11663,NA,NA,1
2,base,ex6_1_4.bch,-0.294385,156,0.117204,NA,NA,1
3,base,ex6_1_4.bch,-0.294385,156,0.117592,NA,NA,1
4,base,ex6_1_4.bch,-0.294385,156,0.117991,NA,NA,1
5,base,ex6_1_4.bch,-0.294385,156,0.117412,NA,NA,1
6,base,ex6_1_4.bch,-0.294385,156,0.118289,NA,NA,1
7,base,ex6_1_4.bch,-0.294385,156,0.117327,NA,NA,1
8,base,ex6_1_4.bch,-0.294385,156,0.118014,NA,NA,1
9,base,ex6_1_4.bch,-0.294385,156,0.117718,NA,NA,1
8,base,ex6_1_3bis.bch,-0.351884,11214,5.81627,NA,NA,1
0,base,ex6_1_3bis.bch,-0.351884,11214,8.06993,NA,NA,1
2,base,ex6_1_3bis.bch,-0.351884,11214,7.71554,NA,NA,1
3,base,ex6_1_3bis.bch,-0.351884,11214,7.96631,NA,NA,1
4,base,ex6_1_3bis.bch,-0.351884,11214,7.93736,NA,NA,1
5,base,ex6_1_3bis.bch,-0.351884,11214,7.53527,NA,NA,1
6,base,ex6_1_3bis.bch,-0.351884,11214,7.95437,NA,NA,1
7,base,ex6_1_3bis.bch,-0.351884,11214,7.94337,NA,NA,1
9,base,ex6_1_3bis.bch,-0.351884,11214,7.25915,NA,NA,1
0,base,ex6_2_11.bch,-2.67226e-06,25768,10.4165,NA,NA,1
1,base,ex6_2_11.bch,-2.67226e-06,25768,10.7077,NA,NA,1
0,base,ex6_2_12.bch,0.289196,7840,3.29232,NA,NA,1
6,base,ex6_2_11.bch,-2.67226e-06,25768,13.0225,NA,NA,1
1,base,ex6_2_12.bch,0.289196,7840,3.23746,NA,NA,1
3,base,ex6_2_11.bch,-2.67226e-06,25768,13.8065,NA,NA,1
2,base,ex6_2_11.bch,-2.67226e-06,25768,13.9929,NA,NA,1
4,base,ex6_2_11.bch,-2.67226e-06,25768,13.747,NA,NA,1
5,base,ex6_2_11.bch,-2.67226e-06,25768,13.767,NA,NA,1
8,base,ex6_2_11.bch,-2.67226e-06,25768,13.5604,NA,NA,1
9,base,ex6_2_11.bch,-2.67226e-06,25768,13.292,NA,NA,1
7,base,ex6_2_11.bch,-2.67226e-06,25768,13.7484,NA,NA,1
0,base,ex6_2_14.bch,-0.695354,1084,0.677941,NA,NA,1
1,base,ex6_2_14.bch,-0.695354,1084,0.673888,NA,NA,1
3,base,ex6_2_14.bch,-0.695354,1084,0.502101,NA,NA,1
2,base,ex6_2_14.bch,-0.695354,1084,0.688055,NA,NA,1
4,base,ex6_2_14.bch,-0.695354,1084,0.511902,NA,NA,1
5,base,ex6_2_14.bch,-0.695354,1084,0.688111,NA,NA,1
2,base,ex6_2_12.bch,0.289196,7840,4.06831,NA,NA,1
6,base,ex6_2_14.bch,-0.695354,1084,0.503752,NA,NA,1
5,base,ex6_2_12.bch,0.289196,7840,3.5109,NA,NA,1
9,base,ex6_2_14.bch,-0.695354,1084,0.503609,NA,NA,1
7,base,ex6_2_14.bch,-0.695354,1084,0.687237,NA,NA,1
8,base,ex6_2_14.bch,-0.695354,1084,0.687418,NA,NA,1
4,base,ex6_2_12.bch,0.289196,7840,4.23469,NA,NA,1
3,base,ex6_2_12.bch,0.289196,7840,4.47433,NA,NA,1
7,base,ex6_2_12.bch,0.289196,7840,4.20488,NA,NA,1
6,base,ex6_2_12.bch,0.289196,7840,4.52517,NA,NA,1
8,base,ex6_2_12.bch,0.289196,7840,4.38491,NA,NA,1
9,base,ex6_2_12.bch,0.289196,7840,4.46523,NA,NA,1
5,base,chem-1.bch,-47.7051,902456,1027.93,NA,NA,1
6,base,chem-1.bch,-47.7051,902456,1032.1,NA,NA,1
2,base,chem-1.bch,-47.7051,902456,1037.48,NA,NA,1
9,base,chem-1.bch,-47.7051,902456,1041.19,NA,NA,1
0,base,ex6_1_3.bch,-0.352474,15020,35.9976,NA,NA,1
1,base,ex6_1_3.bch,-0.352474,15020,41.046,NA,NA,1
8,base,chem-1.bch,-47.7051,902456,1079.63,NA,NA,1
2,base,ex6_1_3.bch,-0.352474,15020,43.7238,NA,NA,1
4,base,chem-1.bch,-47.7051,902456,1081.78,NA,NA,1
3,base,ex6_1_3.bch,-0.352474,15020,42.9123,NA,NA,1
3,base,chem-1.bch,-47.7051,902456,1089.67,NA,NA,1
4,base,ex6_1_3.bch,-0.352474,15020,38.1117,NA,NA,1
0,base,chem-1.bch,-47.7051,902456,1103.79,NA,NA,1
1,base,chem-1.bch,-47.7051,902456,1105.72,NA,NA,1
5,base,ex6_1_3.bch,-0.352474,15020,36.7591,NA,NA,1
7,base,chem-1.bch,-47.7051,902456,1111.01,NA,NA,1
8,base,ex6_1_3.bch,-0.352474,15020,33.7166,NA,NA,1
7,base,ex6_1_3.bch,-0.352474,15020,40.845,NA,NA,1
6,base,ex6_1_3.bch,-0.352474,15020,43.6917,NA,NA,1
9,base,ex6_1_3.bch,-0.352474,15020,39.8027,NA,NA,1
0,base,ex6_2_10.bch,-3.05198,330616,248.434,NA,NA,1
0,base,ex8_5_1bis.bch,-5.09135e-07,4002,4.65882,NA,NA,1
1,base,ex8_5_1bis.bch,-5.09135e-07,4002,4.69222,NA,NA,1
2,base,ex8_5_1bis.bch,-5.09135e-07,4002,4.66598,NA,NA,1
3,base,ex8_5_1bis.bch,-5.09135e-07,4002,4.67016,NA,NA,1
4,base,ex8_5_1bis.bch,-5.09135e-07,4002,4.68084,NA,NA,1
5,base,ex8_5_1bis.bch,-5.09135e-07,4002,3.73678,NA,NA,1
6,base,ex8_5_1bis.bch,-5.09135e-07,4002,3.35374,NA,NA,1
7,base,ex8_5_1bis.bch,-5.09135e-07,4002,4.66575,NA,NA,1
8,base,ex8_5_1bis.bch,-5.09135e-07,4002,4.62972,NA,NA,1
9,base,ex8_5_1bis.bch,-5.09135e-07,4002,4.66267,NA,NA,1
6,base,ex6_2_10.bch,-3.05198,330616,276.25,NA,NA,1
7,base,ex6_2_10.bch,-3.05198,330616,274.455,NA,NA,1
2,base,ex6_2_10.bch,-3.05198,330616,292.988,NA,NA,1
9,base,ex6_2_10.bch,-3.05198,330616,272.707,NA,NA,1
1,base,ex6_2_10.bch,-3.05198,330616,303.634,NA,NA,1
5,base,ex6_2_10.bch,-3.05198,330616,295.204,NA,NA,1
4,base,ex6_2_10.bch,-3.05198,330616,297.198,NA,NA,1
3,base,ex6_2_10.bch,-3.05198,330616,301.09,NA,NA,1
8,base,ex6_2_10.bch,-3.05198,330616,301.794,NA,NA,1
7,base,sambal.bch,3.9691,522502,1140.55,NA,NA,1
3,base,sambal.bch,3.9691,522502,1212.29,NA,NA,1
2,base,sambal.bch,3.9691,522502,1237.61,NA,NA,1
6,base,sambal.bch,3.9691,522502,1264.86,NA,NA,1
1,base,sambal.bch,3.9691,522502,1291.79,NA,NA,1
4,base,sambal.bch,3.9691,522502,1323.78,NA,NA,1
0,base,sambal.bch,3.9691,522502,1353.5,NA,NA,1
9,base,sambal.bch,3.9691,522502,1343.71,NA,NA,1
8,base,sambal.bch,3.9691,522502,1377.17,NA,NA,1
5,base,sambal.bch,3.9691,522502,1377.88,NA,NA,1
