run,variant,problem,best_value,nodes,elapsed,max_depth,avg_depth,optimal,triggers
3,vol_k,ex6_2_14.bch,-0.695358,4842,1.76003,NA,NA,1,0
1,vol_k,ex6_2_14.bch,-0.695358,4842,1.76262,NA,NA,1,0
2,vol_k,ex6_2_14.bch,-0.695358,4842,1.77578,NA,NA,1,0
5,vol_k,ex6_2_14.bch,-0.695358,4842,1.7792,NA,NA,1,0
4,vol_k,ex6_2_14.bch,-0.695358,4842,1.78449,NA,NA,1,0
0,vol_k,ex6_2_14.bch,-0.695358,4842,1.79405,NA,NA,1,0
6,vol_k,ex6_2_14.bch,-0.695358,4850,1.73594,NA,NA,1,0
7,vol_k,ex6_2_14.bch,-0.695358,4850,1.73074,NA,NA,1,0
8,vol_k,ex6_2_14.bch,-0.695358,4850,1.71396,NA,NA,1,0
9,vol_k,ex6_2_14.bch,-0.695358,4850,1.73286,NA,NA,1,0
