run,variant,problem,triggers_total,triggers_depth,triggers_vol,vol_eval,vol_nonfinite
4,depth_k_rand,ex6_1_4.bch,51,51,0,53,53
5,depth_k_rand,ex6_1_4.bch,56,56,0,58,58
0,depth_k_rand,ex6_1_4.bch,61,61,0,63,63
2,depth_k_rand,ex6_1_4.bch,57,57,0,59,59
1,depth_k_rand,ex6_1_4.bch,64,64,0,66,66
3,depth_k_rand,ex6_1_4.bch,66,66,0,68,68
6,depth_k_rand,ex6_1_4.bch,56,56,0,58,58
8,depth_k_rand,ex6_1_4.bch,65,65,0,67,67
9,depth_k_rand,ex6_1_4.bch,65,65,0,67,67
7,depth_k_rand,ex6_1_4.bch,136,136,0,138,138
